time,EstimatedRemainingTimeContext,SimulationLeftNumber,SimulationElapsedTime,MinimumCoresContext,WillFinishTooSoonContext,NotFinishedOnTimeContext,RemainingSimulationTimeMetric
1603269342,null,567,467,8,null,null,6733
1603269372,null,564,497,8,null,null,6703
1603269402,null,564,527,9,null,null,6673
1603269432,null,561,557,9,null,null,6643
1603269462,null,560,587,12,null,null,6613
1603269492,null,558,617,11,null,null,6583
1603269522,null,557,647,11,null,null,6553
1603269552,null,555,677,11,null,null,6523
1603269582,null,552,707,11,null,null,6493
1603269612,null,550,737,11,null,null,6463
1603269642,null,549,767,10,null,null,6433
1603269672,null,547,797,10,null,null,6403
1603269702,null,545,827,10,null,null,6373
1603269732,null,544,857,10,null,null,6343
1603269762,null,540,887,11,null,null,6313
1603269792,null,537,917,11,null,null,6283
1603269822,null,535,947,12,null,null,6253
1603269852,null,530,977,13,null,null,6223
1603269882,null,527,1007,12,null,null,6193
1603269912,null,525,1037,11,null,null,6163
1603269942,null,522,1067,11,null,null,6133
1603269972,null,519,1097,11,null,null,6103
1603270002,null,516,1127,11,null,null,6073
1603270032,null,513,1157,11,null,null,6043
1603270062,null,511,1187,12,null,null,6013
1603270092,null,505,1217,12,null,null,5983
1603270122,null,502,1247,11,null,null,5953
1603270152,null,500,1277,11,null,null,5923
1603270182,null,495,1307,11,null,null,5893
1603270212,null,492,1337,11,null,null,5863
1603270242,null,487,1367,12,null,null,5833
1603270272,null,491,1397,13,null,null,5803
1603270302,null,488,1427,12,null,null,5773
1603270332,null,482,1457,12,null,null,5743
1603270362,null,478,1487,12,null,null,5713
1603270392,null,476,1517,12,null,null,5683
1603270422,null,473,1547,12,null,null,5653
1603270452,null,471,1577,12,null,null,5623
1603270482,null,468,1607,12,null,null,5593
1603270512,null,466,1637,12,null,null,5563
1603270542,null,456,1667,13,null,null,5533
1603270572,null,454,1697,12,null,null,5503
1603270602,null,452,1727,12,null,null,5473
1603270632,null,449,1757,13,null,null,5443
1603270662,null,446,1787,13,null,null,5413
1603270692,null,444,1817,13,null,null,5383
1603270722,null,442,1847,13,null,null,5353
1603270752,null,439,1877,13,null,null,5323
1603270782,null,431,1907,13,null,null,5293
1603270812,null,427,1937,10,null,null,5263
1603270842,null,422,1967,10,null,null,5233
1603270872,null,419,1997,11,null,null,5203
1603270902,null,420,2027,11,null,null,5173
1603270932,null,416,2057,14,null,null,5143
1603270962,null,410,2087,14,null,null,5113
1603270992,null,405,2117,14,null,null,5083
1603271022,null,403,2147,14,null,null,5053
1603271052,null,400,2177,14,null,null,5023
1603271082,null,397,2207,14,null,null,4993
1603271112,null,395,2237,14,null,null,4963
1603271142,null,383,2267,15,null,null,4933
1603271172,null,381,2297,14,null,null,4903
1603271202,null,378,2327,15,null,null,4873
1603271232,null,375,2357,14,null,null,4843
1603271262,null,373,2387,15,null,null,4813
1603271292,null,371,2417,15,null,null,4783
1603271322,null,358,2447,16,null,null,4753
1603271352,null,355,2477,15,null,null,4723
1603271382,null,351,2507,15,null,null,4693
1603271412,null,348,2537,16,null,null,4663
1603271442,null,333,2567,18,null,null,4633
1603271472,null,329,2597,18,null,null,4603
1603271502,null,325,2627,18,null,null,4573
1603271532,null,323,2657,18,null,null,4543
1603271562,null,307,2687,18,null,null,4513
1603271592,null,304,2717,16,null,null,4483
1603271622,null,300,2747,16,null,null,4453
1603271652,null,285,2777,16,null,null,4423
1603271682,null,279,2807,15,null,null,4393
1603271712,null,277,2837,16,null,null,4363
1603271742,null,259,2867,16,null,null,4333
1603271772,null,254,2897,16,null,null,4303
1603271802,null,235,2927,15,null,null,4273
1603271832,null,229,2957,14,null,null,4243
1603271862,null,210,2987,18,null,null,4213
1603271892,null,212,3017,17,null,null,4183
1603271922,null,209,3047,16,null,null,4153
1603271952,null,205,3077,15,null,null,4123
1603271982,null,186,3107,16,null,null,4093
1603272012,null,181,3137,16,null,null,4063
1603272042,null,160,3167,16,null,null,4033
1603272072,null,138,3197,15,null,null,4003
1603272102,null,134,3227,13,null,null,3973
1603272132,null,112,3257,14,null,null,3943
1603272162,null,88,3287,13,null,null,3913
1603272192,null,61,3317,11,null,null,3883
1603272222,null,12,3347,7,null,null,3853
1603272252,null,7,3377,2,null,null,3823
1603272282,null,84,3407,1,null,null,3793
1603272312,null,84,3437,14,null,null,3763
1603272342,null,76,3467,17,null,null,3733
1603272372,null,72,3497,19,null,null,3703
1603272402,null,69,3527,24,null,null,3673
1603272432,null,58,3557,35,null,null,3643
1603272462,null,56,3587,58,null,null,3613
1603272492,null,43,3617,null,null,null,3583
1603272522,null,36,3647,-43,null,null,3553
1603272552,null,34,3677,-18,null,null,3523
1603272582,null,21,3707,-11,null,null,3493
1603272612,null,9,3737,-5,null,null,3463
1603272642,null,null,null,-1,null,null,null
1603268972,null,null,null,null,487.8499999999999,-216.75,null
1603269002,null,null,null,null,511.8499999999999,-186.75,null
1603269032,null,null,null,null,673.6,-19.0,null
1603269062,null,null,null,null,1702.1,1015.5,null
1603269092,null,null,null,null,1718.35,1037.75,null
1603269122,null,null,null,null,2306.6,1632.0,null
1603269152,null,null,null,null,2330.6,1662.0,null
1603269182,null,null,null,null,2774.1,2111.5,null
1603269212,null,null,null,null,2940.85,2284.25,null
1603269242,null,null,null,null,2955.1,2304.5,null
1603269272,null,null,null,null,3253.85,2609.25,null
1603269302,null,null,null,null,3277.85,2639.25,null
1603269332,null,null,null,null,451.5999999999999,-181.0,null
1603269362,null,null,null,null,475.5999999999999,-151.0,null
1603269392,null,null,null,null,565.225,-55.375,null
1603269422,null,null,null,null,643.6,29.0,null
1603269452,null,null,null,null,667.6,59.0,null
1603269482,null,null,null,null,1797.1,1194.5,null
1603269512,null,null,null,null,1673.6,1077.0,null
1603269542,null,null,null,null,1543.6,953.0,null
1603269572,null,null,null,null,1490.975,906.375,null
1603269602,null,null,null,null,1431.85,853.25,null
1603269632,null,null,null,null,1435.6,863.0,null
1603269662,null,null,null,null,1171.1,604.5,null
1603269692,null,null,null,null,45.09999999999991,-515.5,null
1603269722,null,null,null,null,15.18333333333385,-539.416666666666,null
1603269752,null,null,null,null,76.4333333333339,-472.1666666666661,null
1603269782,null,null,null,null,96.2666666666669,-446.333333333333,null
1603269812,null,null,null,null,148.5999999999999,-388.0,null
1603269842,null,null,null,null,383.5999999999999,-147.0,null
1603269872,null,null,null,null,665.766666666667,141.166666666667,null
1603269902,null,null,null,null,443.0999999999999,-75.5,null
1603269932,null,null,null,null,233.2666666666669,-279.333333333333,null
1603269962,null,null,null,null,248.5999999999999,-258.0,null
1603269992,null,null,null,null,216.0999999999999,-284.5,null
1603270022,null,null,null,null,227.3499999999999,-267.25,null
1603270052,null,null,null,null,238.5999999999999,-250.0,null
1603270082,null,null,null,null,292.5999999999999,-190.0,null
1603270112,null,null,null,null,307.9333333333339,-168.6666666666661,null
1603270142,null,null,null,null,-272.7125000000001,-743.3125,null
1603270172,null,null,null,null,-289.6500000000001,-754.25,null
1603270202,null,null,null,null,-271.9000000000001,-730.5,null
1603270232,null,null,null,null,-263.5250000000001,-716.125,null
1603270262,null,null,null,null,-218.1500000000001,-664.75,null
1603270292,null,null,null,null,-27.46250000000009,-468.0625,null
1603270322,null,null,null,null,348.3499999999999,-86.25,null
1603270352,null,null,null,null,359.5999999999999,-69.0,null
1603270382,null,null,null,null,358.0999999999999,-64.5,null
1603270412,null,null,null,null,325.2666666666669,-91.333333333333,null
1603270442,null,null,null,null,340.9333333333329,-69.666666666667,null
1603270472,null,null,null,null,352.4333333333329,-52.16666666666697,null
1603270502,null,null,null,null,368.0999999999999,-30.5,null
1603270532,null,null,null,null,418.5999999999999,26.0,null
1603270562,null,null,null,null,434.0999999999999,47.5,null
1603270592,null,null,null,null,377.5999999999999,-3.0,null
1603270622,null,null,null,null,393.2666666666669,18.66666666666697,null
1603270652,null,null,null,null,408.9333333333329,40.33333333333303,null
1603270682,null,null,null,null,420.4333333333329,57.83333333333303,null
1603270712,null,null,null,null,431.9333333333329,75.333333333333,null
1603270742,null,null,null,null,447.5999999999999,97.0,null
1603270772,null,null,null,null,463.2666666666669,118.666666666667,null
1603270802,null,null,null,null,17.47499999999991,-321.125,null
1603270832,null,null,null,null,-306.7750000000001,-639.375,null
1603270862,null,null,null,null,-292.2750000000001,-618.875,null
1603270892,null,null,null,null,-253.7750000000001,-574.375,null
1603270922,null,null,null,null,-237.0875000000001,-551.6875,null
1603270952,null,null,null,null,78.0999999999999,-230.5,null
1603270982,null,null,null,null,488.2666666666669,185.666666666667,null
1603271012,null,null,null,null,487.7666666666669,191.166666666667,null
1603271042,null,null,null,null,457.5999999999999,167.0,null
1603271072,null,null,null,null,473.5999999999999,189.0,null
1603271102,null,null,null,null,485.5999999999999,207.0,null
1603271132,null,null,null,null,497.5999999999999,225.0,null
1603271162,null,null,null,null,513.6,247.0,null
1603271192,null,null,null,null,457.6833333333329,197.083333333333,null
1603271222,null,null,null,null,473.85,219.25,null
1603271252,null,null,null,null,486.1,237.5,null
1603271282,null,null,null,null,529.6,287.0,null
1603271312,null,null,null,null,545.6,309.0,null
1603271342,null,null,null,null,190.6,-40.0,null
1603271372,null,null,null,null,130.85,-93.75,null
1603271402,null,null,null,null,146.225,-72.375,null
1603271432,null,null,null,null,158.725,-53.875,null
1603271462,null,null,null,null,326.35,119.75,null
1603271492,null,null,null,null,279.85,79.25,null
1603271522,null,null,null,null,270.2875,75.6875,null
1603271552,null,null,null,null,281.5375,92.9375,null
1603271582,null,null,null,null,299.1625,116.5625,null
1603271612,null,null,null,null,137.85,-38.75,null
1603271642,null,null,null,null,153.6,-17.0,null
1603271672,null,null,null,null,166.6,2.0,null
1603271702,null,null,null,null,95.9125,-62.6875,null
1603271732,null,null,null,null,-24.5,-177.1,null
