time,EstimatedRemainingTimeContext,SimulationLeftNumber,SimulationElapsedTime,NotFinishedOnTime,MinimumCoresContext,WillFinishTooSoonContext,NotFinishedOnTimeContext,RemainingSimulationTimeMetric,TotalCores
1607508697,5045.625,null,null,null,null,null,null,null,null
1607508727,5037.0,null,null,null,null,null,null,null,null
1607508757,5011.125,null,null,null,null,null,null,null,null
1607508787,4811.0,null,null,null,null,null,null,null,null
1607508817,4802.5,null,null,null,null,null,null,null,null
1607508847,4768.5,null,null,null,null,null,null,null,null
1607508877,4751.5,null,null,null,null,null,null,null,null
1607508907,4734.5,null,null,null,null,null,null,null,null
1607508937,4709.0,null,null,null,null,null,null,null,null
1607508967,4683.5,null,null,null,null,null,null,null,null
1607508997,4666.5,null,null,null,null,null,null,null,null
1607509027,4539.0,null,null,null,null,null,null,null,null
1607509057,4513.5,null,null,null,null,null,null,null,null
1607509087,4488.0,null,null,null,null,null,null,null,null
1607509117,4479.5,null,null,null,null,null,null,null,null
1607509147,4445.5,null,null,null,null,null,null,null,null
1607509177,4428.5,null,null,null,null,null,null,null,null
1607509207,4420.0,null,null,null,null,null,null,null,null
1607509237,4204.25,null,null,null,null,null,null,null,null
1607509267,4187.5,null,null,null,null,null,null,null,null
1607509297,4233.0,null,null,null,null,null,null,null,null
1607509327,4207.5,null,null,null,null,null,null,null,null
1607509357,4190.5,null,null,null,null,null,null,null,null
1607509387,4165.0,null,null,null,null,null,null,null,null
1607509417,3910.5,null,null,null,null,null,null,null,null
1607509447,3885.75,null,null,null,null,null,null,null,null
1607509477,3978.0,null,null,null,null,null,null,null,null
1607509507,6675.333333333333,null,null,null,null,null,null,null,null
1607509537,6532.5,null,null,null,null,null,null,null,null
1607509567,6476.666666666667,null,null,null,null,null,null,null,null
1607509597,6465.5,null,null,null,null,null,null,null,null
1607509627,6443.166666666667,null,null,null,null,null,null,null,null
1607509657,6270.0,null,null,null,null,null,null,null,null
1607509687,6248.0,null,null,null,null,null,null,null,null
1607509717,6088.333333333333,null,null,null,null,null,null,null,null
1607509747,6045.0,null,null,null,null,null,null,null,null
1607509777,6045.0,null,null,null,null,null,null,null,null
1607509807,5888.0,null,null,null,null,null,null,null,null
1607509837,4400.0,null,null,null,null,null,null,null,null
1607509867,4360.0,null,null,null,null,null,null,null,null
1607509897,4244.625,null,null,null,null,null,null,null,null
1607509927,4221.0,null,null,null,null,null,null,null,null
1607509957,3661.0,null,null,null,null,null,null,null,null
1607509987,3661.0,null,null,null,null,null,null,null,null
1607510017,4006.75,null,null,null,null,null,null,null,null
1607510047,5256.166666666667,null,null,null,null,null,null,null,null
1607510077,5256.166666666667,null,null,null,null,null,null,null,null
1607510107,5215.5,null,null,null,null,null,null,null,null
1607510137,5185.0,null,null,null,null,null,null,null,null
1607510167,5164.666666666667,null,null,null,null,null,null,null,null
1607510197,5134.166666666667,null,null,null,null,null,null,null,null
1607510227,5113.833333333333,null,null,null,null,null,null,null,null
1607510257,5093.5,null,null,null,null,null,null,null,null
1607510287,5073.166666666667,null,null,null,null,null,null,null,null
1607510317,5042.666666666667,null,null,null,null,null,null,null,null
1607510347,5022.333333333333,null,null,null,null,null,null,null,null
1607510377,5012.166666666667,null,null,null,null,null,null,null,null
1607510407,4981.666666666667,null,null,null,null,null,null,null,null
1607510437,4951.166666666667,null,null,null,null,null,null,null,null
1607510467,4951.166666666667,null,null,null,null,null,null,null,null
1607510497,5001.333333333333,null,null,null,null,null,null,null,null
1607510527,4960.0,null,null,null,null,null,null,null,null
1607510557,4960.0,null,null,null,null,null,null,null,null
1607510587,4929.0,null,null,null,null,null,null,null,null
1607510617,4887.666666666667,null,null,null,null,null,null,null,null
1607510647,4877.333333333333,null,null,null,null,null,null,null,null
1607510677,4867.0,null,null,null,null,null,null,null,null
1607510707,4836.0,null,null,null,null,null,null,null,null
1607510737,4815.333333333333,null,null,null,null,null,null,null,null
1607510767,4805.0,null,null,null,null,null,null,null,null
1607510797,4774.0,null,null,null,null,null,null,null,null
1607510827,4763.666666666667,null,null,null,null,null,null,null,null
1607510857,4577.666666666667,null,null,null,null,null,null,null,null
1607510887,4567.333333333333,null,null,null,null,null,null,null,null
1607510917,4536.333333333333,null,null,null,null,null,null,null,null
1607510947,4515.666666666667,null,null,null,null,null,null,null,null
1607510977,4505.333333333333,null,null,null,null,null,null,null,null
1607511007,4474.333333333333,null,null,null,null,null,null,null,null
1607511037,4464.0,null,null,null,null,null,null,null,null
1607511067,4140.0,null,null,null,null,null,null,null,null
1607511097,4110.0,null,null,null,null,null,null,null,null
1607511127,4100.0,null,null,null,null,null,null,null,null
1607511157,4080.0,null,null,null,null,null,null,null,null
1607511187,4050.0,null,null,null,null,null,null,null,null
1607511217,4040.0,null,null,null,null,null,null,null,null
1607511247,4020.0,null,null,null,null,null,null,null,null
1607511277,3648.0,null,null,null,null,null,null,null,null
1607511307,3619.5,null,null,null,null,null,null,null,null
1607511337,3591.0,null,null,null,null,null,null,null,null
1607511367,3581.5,null,null,null,null,null,null,null,null
1607511397,3572.0,null,null,null,null,null,null,null,null
1607511427,3534.0,null,null,null,null,null,null,null,null
1607511457,3524.5,null,null,null,null,null,null,null,null
1607511487,3344.0,null,null,null,null,null,null,null,null
1607511517,3315.5,null,null,null,null,null,null,null,null
1607511547,3287.0,null,null,null,null,null,null,null,null
1607511577,3287.0,null,null,null,null,null,null,null,null
1607511607,3258.5,null,null,null,null,null,null,null,null
1607511637,3249.0,null,null,null,null,null,null,null,null
1607511667,2996.0,null,null,null,null,null,null,null,null
1607511697,2968.0,null,null,null,null,null,null,null,null
1607511727,2949.333333333334,null,null,null,null,null,null,null,null
1607511757,2940.0,null,null,null,null,null,null,null,null
1607511787,2912.0,null,null,null,null,null,null,null,null
1607511817,2610.0,null,null,null,null,null,null,null,null
1607511847,2601.0,null,null,null,null,null,null,null,null
1607511877,2583.0,null,null,null,null,null,null,null,null
1607511907,2556.0,null,null,null,null,null,null,null,null
1607511937,2547.0,null,null,null,null,null,null,null,null
1607511967,2529.0,null,null,null,null,null,null,null,null
1607511997,2261.333333333334,null,null,null,null,null,null,null,null
1607512027,2261.333333333334,null,null,null,null,null,null,null,null
1607512057,2234.833333333334,null,null,null,null,null,null,null,null
1607512087,2217.166666666667,null,null,null,null,null,null,null,null
1607512117,1976.0,null,null,null,null,null,null,null,null
1607512147,1950.0,null,null,null,null,null,null,null,null
1607512177,1969.833333333333,null,null,null,null,null,null,null,null
1607512207,1961.0,null,null,null,null,null,null,null,null
1607512237,1674.5,null,null,null,null,null,null,null,null
1607512267,1649.0,null,null,null,null,null,null,null,null
1607512297,1632.0,null,null,null,null,null,null,null,null
1607512327,1623.5,null,null,null,null,null,null,null,null
1607512357,1347.5,null,null,null,null,null,null,null,null
1607512387,1314.833333333333,null,null,null,null,null,null,null,null
1607512417,4063.5,null,null,null,null,null,null,null,null
1607512447,4063.5,null,null,null,null,null,null,null,null
1607512477,4032.0,null,null,null,null,null,null,null,null
1607512507,4021.5,null,null,null,null,null,null,null,null
1607512537,3990.0,null,null,null,null,null,null,null,null
1607512567,3969.0,null,null,null,null,null,null,null,null
1607512597,3958.5,null,null,null,null,null,null,null,null
1607512627,4031.25,null,null,null,null,null,null,null,null
1607512657,4009.75,null,null,null,null,null,null,null,null
1607512687,4009.75,null,null,null,null,null,null,null,null
1607512717,3977.5,null,null,null,null,null,null,null,null
1607512747,2630.166666666667,null,null,null,null,null,null,null,null
1607512777,2630.166666666667,null,null,null,null,null,null,null,null
1607512807,2608.666666666667,null,null,null,null,null,null,null,null
1607512837,2601.5,null,null,null,null,null,null,null,null
1607512867,2587.166666666667,null,null,null,null,null,null,null,null
1607512897,2565.666666666667,null,null,null,null,null,null,null,null
1607512927,2551.333333333334,null,null,null,null,null,null,null,null
1607512957,3550.0,null,null,null,null,null,null,null,null
1607512987,4224.0,null,null,null,null,null,null,null,null
1607513017,4176.0,null,null,null,null,null,null,null,null
1607513047,4176.0,null,null,null,null,null,null,null,null
1607513077,3372.833333333334,null,null,null,null,null,null,null,null
1607513107,3353.166666666667,null,null,null,null,null,null,null,null
