time,served_request,request_rate,avgResponseTime,performance,cpu_usage,memory
1602538628,2110,426,673.574009325832,0.626508734240462,31.6,71798784
1602538638,1845,314,132.285077009744,2.77431142118145,25.8,65302528
1602538648,2284,461,3.29717633603124,139.816604578358,36.1,65859584
1602538658,2354,469,3.2620622429082,143.774080650857,36.9,65826816
1602538668,2301,463,3.24565293943297,142.652344116894,36.9,65777664
1602538678,2297,461,3.40160796265525,135.524141835601,37.2,65974272
1602538688,2342,463,3.42158147354191,135.317543533668,36.4,65810432
1602538698,2349,463,3.53049328602238,130.859900464649,36.8,65851392
1602538708,2285,462,3.31918426363421,139.190826210459,36.9,65941504
1602538718,2329,467,3.38920793496472,137.790306455441,37.1,65703936
1602538728,2165,483,31.0249457458426,13.9565111103546,36.3,69308416
1602538738,2162,431,665.108660544432,0.64951792936568,31.8,71315456
1602538748,2123,425,678.411350798281,0.624989542850488,31.5,71344128
1602538758,2163,428,663.921664172282,0.650679173933237,31.5,71041024
1602538768,1838,310,641.154752203118,0.573964395858392,25.5,65257472
1602538778,2198,478,46.8105717720608,9.4209488007838,35.4,69042176
1602538788,2141,426,674.42573826205,0.63313123413758,31.6,71311360
1602538798,2154,432,666.935479187146,0.647738819542959,32.3,71204864
1602538808,2186,431,661.8926035409,0.66022795490114,31.7,70950912
1602538818,2116,427,670.394082488545,0.629480496655802,31.7,71360512
1602538828,2149,429,667.049557955224,0.643130626328661,31.7,71098368
1602538838,2150,428,663.825971137646,0.64776013397469,31.3,71720960
1602538848,2165,429,663.352611048392,0.645207379712533,31.6,71393280
1602538858,2159,429,671.487154370936,0.643348122429397,31.6,71049216
1602538868,2181,433,666.500195075153,0.651162600111562,32,71639040
1602538878,2099,431,658.564248046402,0.640787897690835,31.8,71639040
1602538888,2174,437,650.885137156159,0.66832068389301,32.1,71663616
1602538898,2144,429,669.856819755106,0.638942513351545,31.5,71688192
1602538908,1784,299,644.607850655312,0.553825088597776,25.2,65232896
1602538918,2220,478,76.0925463728003,5.87442556870173,35.1,69017600
1602538928,2180,437,661.817887507447,0.657280512073051,31.8,71639040
1602538938,2138,426,671.624065560643,0.635772334398945,32.2,70934528
1602538948,2191,434,664.491521011798,0.659150622920022,32.1,71229440
1602538958,2162,428,671.295108671656,0.642042515180624,31.5,71319552
1602538968,2141,431,666.017219876642,0.641124564435568,32.2,71368704
1602538978,2145,428,670.615076963162,0.638220067968306,31.6,71557120
1602538988,2176,429,670.551066779915,0.647228856236307,31.9,71376896
1602538998,2173,436,659.545027491029,0.659545568336374,32,71385088
1602539008,2170,431,665.115441265194,0.65251830445319,31.9,71262208
1602539018,2166,434,668.964262153964,0.647269255618836,31.8,71512064
1602539028,2134,427,659.826697315584,0.647139622778514,31.5,71299072
1602539038,2130,427,673.82318156426,0.630729264928784,31.6,71249920
1602539048,1759,295,633.660520864794,0.553924362403026,24.7,65343488
1602539058,2178,433,667.205966974859,0.651972586474772,31.6,71774208
1602539068,2165,431,667.285894852037,0.647398668745712,31.8,71364608
1602539078,2165,434,663.986046374808,0.652122137752846,32.2,71548928
1602539088,2159,432,643.244834783288,0.671594976966341,32.5,71442432
1602539098,2160,434,668.951937335509,0.645786305247417,31.8,71426048
1602539108,2156,429,666.268997709915,0.645384974354182,31.4,71491584
1602539118,2138,427,660.135515947226,0.646836883768175,31.8,71548928
1602539128,2165,429,664.203285345029,0.648897723798688,32.3,71467008
1602539138,2145,431,664.871612073102,0.645237354415474,31.9,71344128
1602539148,2162,435,660.866735160185,0.653687009825497,32.1,71221248
1602539158,2165,434,663.561548647099,0.652539317389353,32,71720960
1602539168,2188,436,656.366593767999,0.665786473822985,31.9,71270400
1602539178,2143,429,654.884234355868,0.65202363654393,32,71237632
1602539188,1787,301,638.775896612465,0.558881451058549,25,65167360
1602539198,2274,459,3.12543817015206,146.85940818905,36,65896448
1602539208,2304,461,3.38230126847823,136.297734414242,36.7,65798144
1602539218,2334,465,3.37196479215516,137.90179573696,36.6,66043904
1602539228,2294,463,3.4039370787071,136.018965478604,37.3,65888256
1602539238,2329,462,3.33608696521122,138.485598492409,37.4,65699840
1602539248,2287,460,3.26730071794637,140.788999761592,36.7,66183168
1602539258,2087,476,307.661750297199,1.358634928119,34.2,71376896
1602539268,2141,431,664.623424974572,0.643973690840606,32,71409664
1602539278,2116,425,664.819793011606,0.637766812084968,31.6,71557120
1602539288,2131,434,654.284046267971,0.644979810232396,31.3,71286784
1602539298,2170,432,667.815678020776,0.648382501715584,31.9,71647232
1602539308,2151,436,662.599014271586,0.648959613187338,32.2,71663616
1602539318,2189,433,664.808532101425,0.657332117291976,32,71360512
1602539328,1869,430,399.4183149996,0.928850746366929,29.8,71139328
1602539338,2119,427,674.773346201999,0.628359140719634,31.4,71106560
1602539348,2128,428,668.247457397611,0.637488396377881,31.4,71368704
1602539358,2160,432,662.313328738566,0.652259257446596,31.9,71401472
1602539368,2179,433,650.831275491771,0.669912489485937,32.2,71426048
1602539378,2187,434,640.679068798664,0.680527929244736,32.3,71327744
1602539388,2158,431,671.471693098158,0.643362936130278,32.2,71753728
1602539398,2147,429,670.078279586742,0.640223706795238,31.8,71090176
1602539408,2140,430,667.565868391055,0.642633214657846,31.9,71426048
1602539418,2138,427,672.360313395901,0.635076151124007,31.8,71589888
1602539428,2153,434,652.189076251337,0.657784706339783,31.7,71598080
1602539438,2163,439,661.432566931553,0.65312780409965,31.9,71385088
1602539448,2165,433,659.195236906444,0.655344541060923,32.4,71614464
1602539458,2174,437,662.308421064761,0.655283831817024,31.8,71327744
