time,EstimatedRemainingTimeContext,SimulationLeftNumber,SimulationElapsedTime,NotFinishedOnTime,MinimumCoresContext,NotFinished,WillFinishTooSoonContext,NotFinishedOnTimeContext,MinimumCores,ETPercentile,RemainingSimulationTimeMetric,TotalCores
1613371062,2306.25,null,null,null,null,null,null,null,null,null,null,null
1613371082,2303.6875,null,null,null,null,null,null,null,null,null,null,null
1613371112,2298.5625,null,null,null,null,null,null,null,null,null,null,null
1613371142,2298.5625,null,null,null,null,null,null,null,null,null,null,null
1613371172,2408.0,null,null,null,null,null,null,null,null,null,null,null
1613371202,3184.875,null,null,null,null,null,null,null,null,null,null,null
1613371232,3184.875,null,null,null,null,null,null,null,null,null,null,null
1613371262,3516.1875,null,null,null,null,null,null,null,null,null,null,null
1613371292,3731.0625,null,null,null,null,null,null,null,null,null,null,null
1613371322,3842.4375,null,null,null,null,null,null,null,null,null,null,null
1613371352,3893.75,null,null,null,null,null,null,null,null,null,null,null
1613371382,3940.5,null,null,null,null,null,null,null,null,null,null,null
1613371412,3991.5,null,null,null,null,null,null,null,null,null,null,null
1613371442,4042.375,null,null,null,null,null,null,null,null,null,null,null
1613371472,4037.8125,null,null,null,null,null,null,null,null,null,null,null
1613371502,4088.5,null,null,null,null,null,null,null,null,null,null,null
1613371532,4134.375,null,null,null,null,null,null,null,null,null,null,null
1613371562,4134.375,null,null,null,null,null,null,null,null,null,null,null
1613371592,4129.6875,null,null,null,null,null,null,null,null,null,null,null
1613371622,4175.25,null,null,null,null,null,null,null,null,null,null,null
1613371652,4175.25,null,null,null,null,null,null,null,null,null,null,null
1613371682,4170.5,null,null,null,null,null,null,null,null,null,null,null
1613371712,4161.0,null,null,null,null,null,null,null,null,null,null,null
1613371742,4210.9375,null,null,null,null,null,null,null,null,null,null,null
1613371772,4206.125,null,null,null,null,null,null,null,null,null,null,null
1613371802,4201.3125,null,null,null,null,null,null,null,null,null,null,null
1613371832,4191.6875,null,null,null,null,null,null,null,null,null,null,null
1613371862,4073.4375,null,null,null,null,null,null,null,null,null,null,null
1613371892,4068.75,null,null,null,null,null,null,null,null,null,null,null
1613371922,4068.75,null,null,null,null,null,null,null,null,null,null,null
1613371952,4059.375,null,null,null,null,null,null,null,null,null,null,null
1613371982,4054.6875,null,null,null,null,null,null,null,null,null,null,null
1613372012,4050.0,null,null,null,null,null,null,null,null,null,null,null
1613372042,4045.3125,null,null,null,null,null,null,null,null,null,null,null
1613372072,4040.625,null,null,null,null,null,null,null,null,null,null,null
1613372102,4089.75,null,null,null,null,null,null,null,null,null,null,null
1613372132,4080.25,null,null,null,null,null,null,null,null,null,null,null
1613372162,4080.25,null,null,null,null,null,null,null,null,null,null,null
1613372192,4075.5,null,null,null,null,null,null,null,null,null,null,null
1613372222,4119.5,null,null,null,null,null,null,null,null,null,null,null
1613372252,4119.5,null,null,null,null,null,null,null,null,null,null,null
1613372282,4114.6875,null,null,null,null,null,null,null,null,null,null,null
1613372312,4105.0625,null,null,null,null,null,null,null,null,null,null,null
1613372342,4100.25,null,null,null,null,null,null,null,null,null,null,null
1613372372,4100.25,null,null,null,null,null,null,null,null,null,null,null
1613372402,4143.75,null,null,null,null,null,null,null,null,null,null,null
1613372432,4138.875,null,null,null,null,null,null,null,null,null,null,null
1613372462,4138.875,null,null,null,null,null,null,null,null,null,null,null
1613372492,4129.125,null,null,null,null,null,null,null,null,null,null,null
1613372522,4124.25,null,null,null,null,null,null,null,null,null,null,null
1613372552,4124.25,null,null,null,null,null,null,null,null,null,null,null
1613372582,4114.5,null,null,null,null,null,null,null,null,null,null,null
1613372612,4109.625,null,null,null,null,null,null,null,null,null,null,null
1613372642,4095.0,null,null,null,null,null,null,null,null,null,null,null
1613372672,4090.125,null,null,null,null,null,null,null,null,null,null,null
1613372702,3975.75,null,null,null,null,null,null,null,null,null,null,null
1613372732,3971.0,null,null,null,null,null,null,null,null,null,null,null
1613372762,3961.5,null,null,null,null,null,null,null,null,null,null,null
1613372792,3961.5,null,null,null,null,null,null,null,null,null,null,null
1613372822,3956.75,null,null,null,null,null,null,null,null,null,null,null
1613372852,3999.1875,null,null,null,null,null,null,null,null,null,null,null
1613372882,3999.1875,null,null,null,null,null,null,null,null,null,null,null
1613372912,3994.375,null,null,null,null,null,null,null,null,null,null,null
1613372942,3984.75,null,null,null,null,null,null,null,null,null,null,null
1613372972,3984.75,null,null,null,null,null,null,null,null,null,null,null
1613373002,3979.9375,null,null,null,null,null,null,null,null,null,null,null
1613373032,3970.3125,null,null,null,null,null,null,null,null,null,null,null
1613373062,3965.5,null,null,null,null,null,null,null,null,null,null,null
1613373092,3960.6875,null,null,null,null,null,null,null,null,null,null,null
1613373122,4007.25,null,null,null,null,null,null,null,null,null,null,null
1613373152,4007.25,null,null,null,null,null,null,null,null,null,null,null
1613373182,3997.5,null,null,null,null,null,null,null,null,null,null,null
1613373212,3992.625,null,null,null,null,null,null,null,null,null,null,null
1613373242,3987.75,null,null,null,null,null,null,null,null,null,null,null
1613373272,3982.875,null,null,null,null,null,null,null,null,null,null,null
1613373302,3978.0,null,null,null,null,null,null,null,null,null,null,null
1613373332,3973.125,null,null,null,null,null,null,null,null,null,null,null
1613373362,3963.375,null,null,null,null,null,null,null,null,null,null,null
1613373392,3963.375,null,null,null,null,null,null,null,null,null,null,null
1613373422,3838.0,null,null,null,null,null,null,null,null,null,null,null
1613373452,3782.8125,null,null,null,null,null,null,null,null,null,null,null
1613373482,3778.125,null,null,null,null,null,null,null,null,null,null,null
1613373512,3773.4375,null,null,null,null,null,null,null,null,null,null,null
1613373542,3764.0625,null,null,null,null,null,null,null,null,null,null,null
1613373572,3764.0625,null,null,null,null,null,null,null,null,null,null,null
1613373602,3809.5,null,null,null,null,null,null,null,null,null,null,null
1613373632,3800.0,null,null,null,null,null,null,null,null,null,null,null
1613373662,3800.0,null,null,null,null,null,null,null,null,null,null,null
1613373692,3795.25,null,null,null,null,null,null,null,null,null,null,null
1613373722,3785.75,null,null,null,null,null,null,null,null,null,null,null
1613373752,3785.75,null,null,null,null,null,null,null,null,null,null,null
1613373782,3781.0,null,null,null,null,null,null,null,null,null,null,null
1613373812,3771.5,null,null,null,null,null,null,null,null,null,null,null
1613373842,3766.75,null,null,null,null,null,null,null,null,null,null,null
1613373872,3762.0,null,null,null,null,null,null,null,null,null,null,null
1613373902,3757.25,null,null,null,null,null,null,null,null,null,null,null
1613373932,3752.5,null,null,null,null,null,null,null,null,null,null,null
1613373962,3747.75,null,null,null,null,null,null,null,null,null,null,null
1613373992,3792.25,null,null,null,null,null,null,null,null,null,null,null
1613374022,3787.4375,null,null,null,null,null,null,null,null,null,null,null
1613374052,3782.625,null,null,null,null,null,null,null,null,null,null,null
1613374082,3777.8125,null,null,null,null,null,null,null,null,null,null,null
1613374112,3773.0,null,null,null,null,null,null,null,null,null,null,null
1613374142,3646.875,null,null,null,null,null,null,null,null,null,null,null
1613374172,3642.1875,null,null,null,null,null,null,null,null,null,null,null
1613374202,3637.5,null,null,null,null,null,null,null,null,null,null,null
1613374232,3632.8125,null,null,null,null,null,null,null,null,null,null,null
1613374262,3628.125,null,null,null,null,null,null,null,null,null,null,null
1613374292,3623.4375,null,null,null,null,null,null,null,null,null,null,null
1613374322,3618.75,null,null,null,null,null,null,null,null,null,null,null
1613374352,3614.0625,null,null,null,null,null,null,null,null,null,null,null
1613374382,3604.6875,null,null,null,null,null,null,null,null,null,null,null
1613374412,3604.6875,null,null,null,null,null,null,null,null,null,null,null
1613374442,3600.0,null,null,null,null,null,null,null,null,null,null,null
1613374472,3590.625,null,null,null,null,null,null,null,null,null,null,null
1613374502,3585.9375,null,null,null,null,null,null,null,null,null,null,null
1613374532,3581.25,null,null,null,null,null,null,null,null,null,null,null
1613374562,3576.5625,null,null,null,null,null,null,null,null,null,null,null
1613374592,3571.875,null,null,null,null,null,null,null,null,null,null,null
1613374622,3567.1875,null,null,null,null,null,null,null,null,null,null,null
1613374652,3562.5,null,null,null,null,null,null,null,null,null,null,null
1613374682,3557.8125,null,null,null,null,null,null,null,null,null,null,null
1613374712,3600.5,null,null,null,null,null,null,null,null,null,null,null
1613374742,3595.75,null,null,null,null,null,null,null,null,null,null,null
1613374772,3591.0,null,null,null,null,null,null,null,null,null,null,null
1613374802,3581.5,null,null,null,null,null,null,null,null,null,null,null
1613374832,3581.5,null,null,null,null,null,null,null,null,null,null,null
1613374862,3576.75,null,null,null,null,null,null,null,null,null,null,null
1613374892,3450.25,null,null,null,null,null,null,null,null,null,null,null
1613374922,3441.0,null,null,null,null,null,null,null,null,null,null,null
1613374952,3441.0,null,null,null,null,null,null,null,null,null,null,null
1613374982,3436.375,null,null,null,null,null,null,null,null,null,null,null
1613375012,3427.125,null,null,null,null,null,null,null,null,null,null,null
1613375042,3427.125,null,null,null,null,null,null,null,null,null,null,null
1613375072,3422.5,null,null,null,null,null,null,null,null,null,null,null
1613375102,3413.25,null,null,null,null,null,null,null,null,null,null,null
1613375132,3408.625,null,null,null,null,null,null,null,null,null,null,null
1613375162,3404.0,null,null,null,null,null,null,null,null,null,null,null
1613375192,3399.375,null,null,null,null,null,null,null,null,null,null,null
1613375222,3394.75,null,null,null,null,null,null,null,null,null,null,null
1613375252,3390.125,null,null,null,null,null,null,null,null,null,null,null
1613375282,3385.5,null,null,null,null,null,null,null,null,null,null,null
1613375312,3380.875,null,null,null,null,null,null,null,null,null,null,null
1613375342,3371.625,null,null,null,null,null,null,null,null,null,null,null
1613375372,3367.0,null,null,null,null,null,null,null,null,null,null,null
1613375402,3362.375,null,null,null,null,null,null,null,null,null,null,null
1613375432,3403.125,null,null,null,null,null,null,null,null,null,null,null
1613375462,3398.4375,null,null,null,null,null,null,null,null,null,null,null
