time,EstimatedRemainingTimeContext,SimulationLeftNumber,SimulationElapsedTime,NotFinishedOnTime,MinimumCoresContext,NotFinished,WillFinishTooSoonContext,NotFinishedOnTimeContext,MinimumCores,ETPercentile,RemainingSimulationTimeMetric,TotalCores
1613640672,4050.0,null,null,null,null,null,null,null,null,null,null,null
1613640692,4045.5,null,null,null,null,null,null,null,null,null,null,null
1613640722,4045.5,null,null,null,null,null,null,null,null,null,null,null
1613640752,4045.5,null,null,null,null,null,null,null,null,null,null,null
1613640782,4153.25,null,null,null,null,null,null,null,null,null,null,null
1613640812,4153.25,null,null,null,null,null,null,null,null,null,null,null
1613640842,4153.25,null,null,null,null,null,null,null,null,null,null,null
1613640872,5494.125,null,null,null,null,null,null,null,null,null,null,null
1613640902,5494.125,null,null,null,null,null,null,null,null,null,null,null
1613640932,3080.0,null,null,null,null,null,null,null,null,null,null,null
1613640962,3080.0,null,null,null,null,null,null,null,null,null,null,null
1613640992,3080.0,null,null,null,null,null,null,null,null,null,null,null
1613641022,3348.75,null,null,null,null,null,null,null,null,null,null,null
1613641052,3348.75,null,null,null,null,null,null,null,null,null,null,null
1613641082,4343.625,null,null,null,null,null,null,null,null,null,null,null
1613641112,4394.375,null,null,null,null,null,null,null,null,null,null,null
1613641142,4394.375,null,null,null,null,null,null,null,null,null,null,null
1613641172,4273.5,null,null,null,null,null,null,null,null,null,null,null
1613641202,4268.6875,null,null,null,null,null,null,null,null,null,null,null
1613641232,2845.791666666667,null,null,null,null,null,null,null,null,null,null,null
1613641262,2836.166666666667,null,null,null,null,null,null,null,null,null,null,null
1613641292,2836.166666666667,null,null,null,null,null,null,null,null,null,null,null
1613641322,2836.166666666667,null,null,null,null,null,null,null,null,null,null,null
1613641352,2820.125,null,null,null,null,null,null,null,null,null,null,null
1613641382,2820.125,null,null,null,null,null,null,null,null,null,null,null
1613641412,2813.708333333334,null,null,null,null,null,null,null,null,null,null,null
1613641442,3019.125,null,null,null,null,null,null,null,null,null,null,null
1613641472,2800.875,null,null,null,null,null,null,null,null,null,null,null
1613641502,2788.041666666667,null,null,null,null,null,null,null,null,null,null,null
1613641532,2784.833333333334,null,null,null,null,null,null,null,null,null,null,null
1613641562,2745.5,null,null,null,null,null,null,null,null,null,null,null
1613641592,2736.0,null,null,null,null,null,null,null,null,null,null,null
1613641622,2049.625,null,null,null,null,null,null,null,null,null,null,null
1613641652,2074.1875,null,null,null,null,null,null,null,null,null,null,null
1613641682,2066.96875,null,null,null,null,null,null,null,null,null,null,null
1613641712,2064.5625,null,null,null,null,null,null,null,null,null,null,null
1613641742,2084.0625,null,null,null,null,null,null,null,null,null,null,null
1613641772,2076.75,null,null,null,null,null,null,null,null,null,null,null
1613641802,2178.125,null,null,null,null,null,null,null,null,null,null,null
1613641832,2186.53125,null,null,null,null,null,null,null,null,null,null,null
1613641862,2183.9375,null,null,null,null,null,null,null,null,null,null,null
1613641892,2123.71875,null,null,null,null,null,null,null,null,null,null,null
1613641922,2116.125,null,null,null,null,null,null,null,null,null,null,null
1613641952,2113.59375,null,null,null,null,null,null,null,null,null,null,null
1613641982,2080.0,null,null,null,null,null,null,null,null,null,null,null
1613642012,2072.5,null,null,null,null,null,null,null,null,null,null,null
1613642042,2067.5,null,null,null,null,null,null,null,null,null,null,null
1613642072,2060.0,null,null,null,null,null,null,null,null,null,null,null
1613642102,2055.0,null,null,null,null,null,null,null,null,null,null,null
1613642132,2050.0,null,null,null,null,null,null,null,null,null,null,null
1613642162,2007.09375,null,null,null,null,null,null,null,null,null,null,null
1613642192,2004.625,null,null,null,null,null,null,null,null,null,null,null
1613642222,1971.9375,null,null,null,null,null,null,null,null,null,null,null
1613642252,1962.1875,null,null,null,null,null,null,null,null,null,null,null
1613642282,1962.1875,null,null,null,null,null,null,null,null,null,null,null
1613642312,1952.4375,null,null,null,null,null,null,null,null,null,null,null
1613642342,1945.125,null,null,null,null,null,null,null,null,null,null,null
1613642372,1942.6875,null,null,null,null,null,null,null,null,null,null,null
1613642402,1932.9375,null,null,null,null,null,null,null,null,null,null,null
1613642432,1928.0625,null,null,null,null,null,null,null,null,null,null,null
1613642462,1558.275,null,null,null,null,null,null,null,null,null,null,null
1613642492,1483.9,null,null,null,null,null,null,null,null,null,null,null
1613642522,1460.625,null,null,null,null,null,null,null,null,null,null,null
1613642552,1456.875,null,null,null,null,null,null,null,null,null,null,null
1613642582,1464.9,null,null,null,null,null,null,null,null,null,null,null
1613642612,1443.75,null,null,null,null,null,null,null,null,null,null,null
1613642642,1476.475,null,null,null,null,null,null,null,null,null,null,null
1613642672,1504.95,null,null,null,null,null,null,null,null,null,null,null
1613642702,1502.975,null,null,null,null,null,null,null,null,null,null,null
1613642732,1372.4,null,null,null,null,null,null,null,null,null,null,null
1613642762,1365.1,null,null,null,null,null,null,null,null,null,null,null
1613642792,1357.8,null,null,null,null,null,null,null,null,null,null,null
1613642822,1333.8,null,null,null,null,null,null,null,null,null,null,null
1613642852,1346.85,null,null,null,null,null,null,null,null,null,null,null
1613642882,1341.375,null,null,null,null,null,null,null,null,null,null,null
1613642912,1334.075,null,null,null,null,null,null,null,null,null,null,null
1613642942,1299.6,null,null,null,null,null,null,null,null,null,null,null
1613642972,1296.0,null,null,null,null,null,null,null,null,null,null,null
1613643002,1287.0,null,null,null,null,null,null,null,null,null,null,null
1613643032,1283.4,null,null,null,null,null,null,null,null,null,null,null
1613643062,1276.2,null,null,null,null,null,null,null,null,null,null,null
1613643092,1059.0,null,null,null,null,null,null,null,null,null,null,null
1613643122,1054.5,null,null,null,null,null,null,null,null,null,null,null
1613643152,993.3125,null,null,null,null,null,null,null,null,null,null,null
1613643182,990.4375,null,null,null,null,null,null,null,null,null,null,null
1613643212,981.8125,null,null,null,null,null,null,null,null,null,null,null
1613643242,976.0625,null,null,null,null,null,null,null,null,null,null,null
1613643272,973.1875,null,null,null,null,null,null,null,null,null,null,null
1613643302,1036.0,null,null,null,null,null,null,null,null,null,null,null
1613643332,1003.75,null,null,null,null,null,null,null,null,null,null,null
1613643362,999.1875,null,null,null,null,null,null,null,null,null,null,null
1613643392,978.0,null,null,null,null,null,null,null,null,null,null,null
1613643422,973.5,null,null,null,null,null,null,null,null,null,null,null
1613643452,830.571428571429,null,null,null,null,null,null,null,null,null,null,null
1613643482,800.017857142857,null,null,null,null,null,null,null,null,null,null,null
1613643512,796.214285714286,null,null,null,null,null,null,null,null,null,null,null
1613643542,802.285714285714,null,null,null,null,null,null,null,null,null,null,null
1613643572,728.357142857143,null,null,null,null,null,null,null,null,null,null,null
1613643602,724.821428571429,null,null,null,null,null,null,null,null,null,null,null
1613643632,696.428571428571,null,null,null,null,null,null,null,null,null,null,null
1613643662,750.571428571429,null,null,null,null,null,null,null,null,null,null,null
1613643692,748.035714285714,null,null,null,null,null,null,null,null,null,null,null
1613643722,741.696428571429,null,null,null,null,null,null,null,null,null,null,null
1613643752,630.125,null,null,null,null,null,null,null,null,null,null,null
1613643782,626.796875,null,null,null,null,null,null,null,null,null,null,null
1613643812,619.03125,null,null,null,null,null,null,null,null,null,null,null
1613643842,615.703125,null,null,null,null,null,null,null,null,null,null,null
1613643872,588.4375,null,null,null,null,null,null,null,null,null,null,null
1613643902,578.59375,null,null,null,null,null,null,null,null,null,null,null
1613643932,576.40625,null,null,null,null,null,null,null,null,null,null,null
1613643962,580.578125,null,null,null,null,null,null,null,null,null,null,null
1613643992,569.171875,null,null,null,null,null,null,null,null,null,null,null
1613644022,568.03125,null,null,null,null,null,null,null,null,null,null,null
1613644052,532.5,null,null,null,null,null,null,null,null,null,null,null
1613644082,520.296875,null,null,null,null,null,null,null,null,null,null,null
1613644112,525.375,null,null,null,null,null,null,null,null,null,null,null
1613644142,477.0625,null,null,null,null,null,null,null,null,null,null,null
1613644172,465.375,null,null,null,null,null,null,null,null,null,null,null
1613644202,463.25,null,null,null,null,null,null,null,null,null,null,null
1613644232,414.0,null,null,null,null,null,null,null,null,null,null,null
1613644262,407.0,null,null,null,null,null,null,null,null,null,null,null
1613644292,373.9375,null,null,null,null,null,null,null,null,null,null,null
1613644322,368.125,null,null,null,null,null,null,null,null,null,null,null
1613644352,343.90625,null,null,null,null,null,null,null,null,null,null,null
1613644382,341.96875,null,null,null,null,null,null,null,null,null,null,null
1613644412,330.34375,null,null,null,null,null,null,null,null,null,null,null
1613644442,300.9375,null,null,null,null,null,null,null,null,null,null,null
1613644472,298.125,null,null,null,null,null,null,null,null,null,null,null
1613644502,267.34375,null,null,null,null,null,null,null,null,null,null,null
1613644532,262.734375,null,null,null,null,null,null,null,null,null,null,null
1613644562,234.71875,null,null,null,null,null,null,null,null,null,null,null
1613644592,201.25,null,null,null,null,null,null,null,null,null,null,null
1613644622,194.25,null,null,null,null,null,null,null,null,null,null,null
1613644652,169.296875,null,null,null,null,null,null,null,null,null,null,null
1613644682,142.65625,null,null,null,null,null,null,null,null,null,null,null
1613644712,110.5,null,null,null,null,null,null,null,null,null,null,null
1613644742,60.15625,null,null,null,null,null,null,null,null,null,null,null
1613644772,19.140625,null,null,null,null,null,null,null,null,null,null,null
1613644802,5.359375,null,null,null,null,null,null,null,null,null,null,null
1613644832,0.765625,null,null,null,null,null,null,null,null,null,null,null
1613640650,null,900,21,null,null,null,null,null,null,36,7179,1
1613640680,null,899,50,null,null,null,null,null,null,36,7150,1
1613640710,null,899,80,null,null,null,null,null,null,36,7120,1
1613640740,null,899,110,null,null,null,null,null,null,36,7090,1
1613640770,null,898,140,null,null,null,null,null,null,37,7060,1
1613640800,null,898,170,null,null,null,null,null,null,37,7030,1
1613640830,null,898,200,null,null,null,null,null,null,37,7000,1
1613640860,null,897,230,null,null,null,null,null,null,49,6970,1
1613640890,null,897,260,null,null,null,null,null,null,49,6940,1
1613640920,null,896,290,null,null,null,null,null,null,55,6910,3
1613640950,null,896,320,null,null,null,null,null,null,55,6880,3
1613640980,null,896,350,null,null,null,null,null,null,55,6850,3
1613641010,null,893,380,null,null,null,null,null,null,60,6820,3
1613641040,null,893,410,null,null,null,null,null,null,60,6790,3
1613641070,null,891,440,null,null,null,null,null,null,78,6760,3
1613641100,null,890,470,null,null,null,null,null,null,79,6730,3
1613641130,null,890,500,null,null,null,null,null,null,79,6700,3
